umap_n_components,umap_n_neighbors,umap_min_dist,umap_metric,hdbscan_min_cluster_size,hdbscan_cluster_selection_method,hdbscan_metric,whitening,n_clusters,noise_ratio,dbcv,silhouette
15,10,0.0,cosine,15,eom,cosine,none,6,0.4099,0.3951,0.4254
15,10,0.0,cosine,15,eom,euclidean,none,8,0.5151,0.2364,0.4857
15,10,0.0,cosine,10,eom,cosine,none,2,0.0085,0.6295,0.084
15,10,0.0,cosine,10,eom,euclidean,none,2,0.0048,0.4082,0.1104
15,10,0.0,correlation,15,eom,cosine,none,7,0.5127,0.3211,0.5373
15,10,0.0,correlation,15,eom,euclidean,none,8,0.5224,0.2385,0.4415
15,10,0.0,correlation,10,eom,cosine,none,2,0.0242,0.7049,0.1495
15,10,0.0,correlation,10,eom,euclidean,none,2,0.0169,0.4684,0.1493
15,10,0.05,cosine,10,eom,euclidean,none,2,0.0278,0.3335,0.0971
15,10,0.05,correlation,10,eom,cosine,none,14,0.4341,0.4327,0.5293
15,10,0.05,cosine,15,eom,cosine,none,5,0.5236,0.2754,0.6328
15,10,0.05,correlation,10,eom,euclidean,none,2,0.0387,0.3228,0.1274
15,10,0.05,correlation,15,eom,euclidean,none,4,0.4305,0.1973,0.3877
15,10,0.05,correlation,15,eom,cosine,none,6,0.4946,0.3123,0.583
15,10,0.05,cosine,10,eom,cosine,none,2,0.0496,0.6604,0.1262
15,10,0.05,cosine,15,eom,euclidean,none,6,0.5502,0.1168,0.4748
15,15,0.0,cosine,15,eom,cosine,none,7,0.5744,0.2892,0.6316
15,15,0.0,cosine,10,eom,euclidean,none,2,0.1016,0.4323,0.0502
15,15,0.0,cosine,15,eom,euclidean,none,6,0.5296,0.1264,0.4518
15,15,0.0,cosine,10,eom,cosine,none,2,0.0907,0.6562,-0.0538
15,15,0.0,correlation,10,eom,cosine,none,2,0.0496,0.7121,0.0546
15,15,0.0,correlation,15,eom,cosine,none,6,0.6203,0.2875,0.7108
15,15,0.0,correlation,10,eom,euclidean,none,2,0.0496,0.3076,0.0917
15,15,0.0,correlation,15,eom,euclidean,none,5,0.5441,0.2358,0.4401
15,15,0.05,cosine,10,eom,euclidean,none,11,0.5514,0.186,0.44
15,15,0.05,cosine,15,eom,cosine,none,7,0.6409,0.2593,0.6658
15,15,0.05,cosine,10,eom,cosine,none,11,0.5611,0.2932,0.5996
15,15,0.05,cosine,15,eom,euclidean,none,7,0.6119,0.1457,0.4501
15,15,0.05,correlation,10,eom,cosine,none,11,0.5574,0.2822,0.4994
15,15,0.05,correlation,15,eom,cosine,none,5,0.5091,0.2783,0.5363
